Age,Gender,Region,Educational_Background,Technical_Skills,Experience_Level,Preferred_Job_Role,Salary_Expectation,Application_Source,Application_Status,Interview_Score,Certifications_Count
32.0,Non-Binary,Asia,Mathematics,"Excel, R",1.0,nan,65359.83,Company Website,nan,44.0,5.0
26.0,Non-Binary,Asia,Mathematics,"R, Excel",0.0,Data Engineer,68220.69,Referral,nan,84.0,4.0
35.0,nan,Europe,Mathematics,"Python, Tableau",3.0,Data Architect,78471.71,LinkedIn,nan,84.0,5.0
28.0,Non-Binary,Europe,Mathematics,"Excel, R",3.0,Data Analyst,55964.86,Campus Recruitment,nan,62.0,0.0
32.0,Non-Binary,Europe,Engineering,"Python, SQL",1.0,Data Engineer,75208.78,Company Website,nan,83.0,1.0
,Female,Europe,Business,"Python, SQL",2.0,Data Scientist,74285.06,Referral,nan,70.0,3.0
24.0,Non-Binary,Africa,Computer Science,nan,5.0,Data Analyst,78003.95,Company Website,Pending,81.0,
32.0,nan,Asia,Computer Science,"R, Excel",1.0,nan,69417.3,Job Portal,Rejected,47.0,4.0
35.0,Male,Asia,Engineering,"SQL, PowerBI",1.0,Data Architect,46531.51,Job Portal,Rejected,99.0,0.0
28.0,Male,Europe,Statistics,"R, Excel",2.0,Data Analyst,73416.37,LinkedIn,nan,53.0,4.0
26.0,Male,North America,Engineering,"Python, Tableau",0.0,Data Analyst,56859.58,nan,Accepted,78.0,
35.0,nan,Europe,nan,"R, Excel",1.0,nan,95888.41,Referral,Pending,83.0,0.0
35.0,Male,Oceania,Mathematics,"Python, Tableau",2.0,Data Scientist,96317.31,Referral,Accepted,70.0,4.0
24.0,Female,nan,Business,nan,0.0,Data Scientist,52827.71,nan,Pending,84.0,3.0
30.0,nan,nan,Computer Science,nan,0.0,Data Scientist,57174.53,nan,Pending,83.0,0.0
28.0,nan,South America,Statistics,nan,7.0,Data Scientist,35382.2,Company Website,Pending,43.0,3.0
22.0,nan,Oceania,Arts,"SQL, PowerBI",10.0,Data Architect,81031.69,Job Portal,Accepted,70.0,5.0
35.0,Non-Binary,North America,Engineering,nan,10.0,Data Scientist,61403.53,Company Website,Accepted,81.0,3.0
30.0,Non-Binary,South America,Arts,"R, Excel",7.0,Data Architect,74059.38,Company Website,nan,91.0,5.0
22.0,Non-Binary,nan,Computer Science,"Python, SQL",7.0,Data Architect,61912.47,nan,Pending,44.0,3.0
28.0,Prefer Not to Say,North America,Engineering,"Python, Tableau",1.0,BI Analyst,45968.04,LinkedIn,Rejected,79.0,4.0
20.0,Female,South America,Computer Science,"Python, Tableau",10.0,nan,73159.49,Campus Recruitment,Pending,49.0,2.0
,nan,Europe,Engineering,"Python, SQL",0.0,BI Analyst,89331.68,LinkedIn,Rejected,49.0,1.0
30.0,nan,Europe,Statistics,"R, Excel",1.0,Data Scientist,69579.94,LinkedIn,nan,66.0,2.0
40.0,Non-Binary,North America,Computer Science,"SQL, PowerBI",,Data Architect,54595.93,LinkedIn,nan,79.0,2.0
20.0,nan,South America,nan,"Excel, R",,Data Analyst,67777.26,Company Website,nan,49.0,
,nan,Africa,Arts,"R, Excel",1.0,Data Engineer,77699.42,Company Website,Pending,83.0,4.0
24.0,Male,North America,Business,nan,3.0,Data Engineer,66972.56,Company Website,Pending,91.0,
32.0,nan,North America,Statistics,"R, Excel",5.0,BI Analyst,53521.56,Company Website,Rejected,83.0,2.0
26.0,Prefer Not to Say,Oceania,nan,"Python, Tableau",5.0,Data Scientist,100296.93,nan,Rejected,84.0,2.0
40.0,Non-Binary,Asia,Statistics,"Python, Tableau",3.0,ML Engineer,47311.78,Job Portal,Accepted,66.0,4.0
24.0,Female,North America,Engineering,"SQL, PowerBI",10.0,Data Engineer,104119.06,Referral,Rejected,47.0,1.0
28.0,Female,Africa,Arts,nan,1.0,nan,68607.86,Job Portal,nan,83.0,1.0
24.0,Male,Europe,Computer Science,"SQL, PowerBI",2.0,nan,83458.11,Referral,Pending,53.0,2.0
32.0,Female,South America,Arts,"SQL, PowerBI",0.0,Data Architect,73228.27,Company Website,Accepted,91.0,1.0
28.0,Female,Asia,Statistics,"Python, SQL",3.0,nan,56834.75,Job Portal,Pending,99.0,4.0
40.0,Non-Binary,South America,Engineering,"Excel, R",7.0,Data Architect,89933.28,Referral,nan,47.0,3.0
32.0,Non-Binary,Europe,Arts,"Excel, R",3.0,Data Engineer,79239.12,Campus Recruitment,nan,47.0,0.0
22.0,Prefer Not to Say,North America,nan,nan,3.0,Data Analyst,68566.15,LinkedIn,nan,68.0,4.0
26.0,Male,Oceania,Computer Science,"SQL, PowerBI",10.0,Data Engineer,80915.02,Referral,Accepted,62.0,1.0
40.0,Female,Africa,Mathematics,"Python, Tableau",10.0,BI Analyst,67940.05,nan,Pending,81.0,
22.0,Prefer Not to Say,Asia,Statistics,"Excel, R",3.0,nan,36982.87,Job Portal,Rejected,78.0,2.0
